image_path,target,prediction,group,confidence,center_energy_ratio,focus_score
images/test/385/98faaecf-211c-4985-b0c2-b966adeb1909.jpg,385,385,correct,0.4854206144809723,0.19687995314598083,0.023411067758027038
images/test/136/760088a4-cccb-4754-8628-9ff7f54d4a75.jpg,136,136,correct,0.705666720867157,0.4132036864757538,0.011012762014459443
images/test/084/9274da88-7de8-4876-aa0a-5c7aedc01383.jpg,84,84,correct,0.9578728675842285,0.7940171957015991,0.058064352416074105
images/test/388/90a62793-4a14-49a4-80c7-a047d9cdbf8f.jpg,388,388,correct,0.9666734933853149,0.30339789390563965,0.010536061804457542
images/test/280/e151ef04-b101-4a94-96a8-76e4b81af8eb.jpg,280,280,correct,0.03791242465376854,0.17142821848392487,0.0741560524667868
images/test/376/7bc7162f-d5b9-4911-bbf1-d56d3f76fee0.jpg,376,376,correct,0.8145151734352112,0.3035357892513275,0.00804916335278616
images/test/355/1e19158e-69ec-44c4-affa-38dc73fb116c.jpg,355,355,correct,0.9203435778617859,0.528757631778717,0.022942800563204302
images/test/243/d907be6b-70c3-4cdb-865d-e9ae3a5a3a92.jpg,243,243,correct,0.4094851613044739,0.37974491715431213,0.02089095747204317
images/test/157/3294a323-149b-4a72-8b05-74ef9e7e2890.jpg,157,157,correct,0.9835964441299438,0.8249315619468689,0.06751983956508312
images/test/130/639f35b6-750a-418c-9476-2bce57cdd0c5.jpg,130,130,correct,0.8866513967514038,0.7767520546913147,0.056750850192688995
images/test/365/82afcdfc-bcd9-45da-93b8-551eb1f7a62a.jpg,365,365,correct,0.9737933278083801,0.3416069746017456,0.00917092906687278
images/test/423/00560db5-2a6f-4f74-a763-902f55c76d24.jpg,423,423,correct,0.44862791895866394,0.27966979146003723,0.013421119667298087
images/test/066/d5cfb7e0-3543-45b4-bd9b-a19c986cc428.jpg,66,66,correct,0.7083203792572021,0.7448208928108215,0.04776399471047588
images/test/038/d2a574c2-4461-4301-a6a4-4234f033124b.jpg,38,38,correct,0.9046880602836609,0.462840735912323,0.008298380169329933
images/test/420/83dc4a53-6536-4ed5-b446-f290f63c35da.jpg,420,420,correct,0.6280232071876526,0.22077664732933044,0.022325744131296843
images/test/263/488f39ef-4c43-45a7-934d-f9eacff897ae.jpg,263,263,correct,0.23093844950199127,0.18378373980522156,0.036095662807398954
images/test/230/282076cd-f687-4693-9a08-0138f887dbb6.jpg,230,230,correct,0.25962451100349426,0.1277710497379303,0.056975751117341655
images/test/356/37f7854b-8002-4f81-af74-b06d594e7ab3.jpg,356,356,correct,0.1087377667427063,0.2516133785247803,0.011701008088406684
images/test/224/4af8753c-62c6-49f8-b4c0-65fc8d6ca701.jpg,224,224,correct,0.9497620463371277,0.41903483867645264,0.04209913355835837
images/test/229/03271829-8cfd-404e-ad6f-0ed6aa773288.jpg,229,229,correct,0.6281598210334778,0.22804032266139984,0.013382990615131374
images/test/092/03c6d9f4-6147-4151-9927-d8a3ce9ef1b6.jpg,92,92,correct,0.8752859830856323,0.5102776885032654,0.010369251877213936
images/test/342/32a3605f-19ca-411c-b879-ea0e06581b3d.jpg,342,342,correct,0.21773460507392883,0.08150830119848251,0.06633611576689669
images/test/345/a3150240-8cfd-4c51-84b4-a9213c503be4.jpg,345,345,correct,0.015669982880353928,0.25443941354751587,0.028740789854037163
images/test/472/579578b7-91ce-43d4-a3e8-ed46580d6000.jpg,472,472,correct,0.3666311204433441,0.3220776617527008,0.040384858848810934
images/test/220/7833e0e6-afa8-4e90-831a-e2cf893b95ed.jpg,220,220,correct,0.9688762426376343,0.6990704536437988,0.03919126288227048
images/test/147/34dfb882-3644-40e9-9dd5-bd00f1956791.jpg,147,147,correct,0.7322750687599182,0.8015046119689941,0.05602424816286988
images/test/432/3eeea512-43c5-460d-b110-0a0f42dd9add.jpg,432,432,correct,0.06207340210676193,0.2751631438732147,0.04411025284114922
images/test/104/aea73c4e-8a2b-4f91-bf7c-7e14e047e025.jpg,104,104,correct,0.8495919108390808,0.37677985429763794,0.004478445345643789
images/test/040/0ddf023d-d841-427e-98b8-c47a0587c4d8.jpg,40,40,correct,0.8550798892974854,0.2950870394706726,0.01993791342814588
images/test/179/08809793-3d29-4dd9-ac95-513291634ef0.jpg,179,179,correct,0.8320668935775757,0.3845488429069519,0.00363590742267883
